序号,才能,成为长处,成为短处
45,走自己的路,自发地行动,不听取他人意见
46,被人喜欢,认识新人,怕被人讨厌
47,联系他人,帮助建立人与人的联系,被重视深交的人认为是肤浅的
48,广交朋友,建立庞大的关系网,无法拒绝他人的请求
49,强势主张自己的意见,善于控制他人,被认为是强权的
50,掌握主动权,善于做指示,善于把控事态的发展,不愿被人指点
51,通过制定明确的目标来感染他人,有领导力,引起不必要的对立
52,可以通过直觉找出事物间的关联性,能对理所当然的事情心存感激,不善于向人解释这些关联
53,留有余地,给人安心感,因看上去比较平和,所以有可能被他人误以为是没有干劲的
54,感觉到与世界的联系,当不被当作个体而是整体中的一部分时能发挥作用,被认为是不同寻常的、偏离现实的
55,善于让人说出心里话,善于做出色的听众,陷入他人消极的情感中
56,观察他人的情绪,共情能力强,认为他人应该与自己一样容易产生共情而感叹"为什么其他人就体会不到呢"
57,站在他人的角度思考,善于帮助他人,无法说真心话
58,发现他人的长处,能够合理安排,使每个人都能发挥自己长处,太过重视个人而牺牲团队整体的进度
59,发现他人的个性,重视多样性,讨厌常规
60,观察人性,能够根据每个人的特点而采取细致入微的应对方式,因对每个人都采取不同的应对方式而导致时间不够用
61,喜欢亲密的关系,一对一建立深层联系,像重视家人那样重视工作上的伙伴,偏袒关系好的人
62,有很强的同伴意识,与关系好的人一起工作时充满力量,在看重形式的职场无法较好地开展工作
63,建立稳固的人际关系,诚实且受信赖,需要花费时间,一对一地建立关系
64,相信他人的潜力,能够耐心地鼓励他人,让他在不适合自己的领域中努力
65,关注他人的成长,注意到他人微小的进步并告诉他,忽视自己
66,为他人的成长加油鼓气,让他人注意到自己能做的事,变得多管闲事
67,找到双方能达成一致的地方前进,善于应对纠纷,善于调停,就算与他人的意见不同,为避免出现纠纷也会选择牺牲个人的想法
68,避免对立,善于协商做出决定,被认为是没有主见的
69,现实,从现实的角度推进工作,不擅长出主意
70,适应环境,适应组织,被他人的要求左右
71,变通,善于应对突发状况,对可能预测到的、重复出现的事感到厌倦
72,重视当下,调整自己适应当下的状况,不擅长制订计划,每天随波逐流
73,扩大组织,不管什么样的人,都能将他安排到合适的位置来提升团队合作水平,讨厌脱离伙伴
74,宽容,成为团队的核心,不擅长说严肃的话
75,心胸宽广,让团队有整体感,与特立独行的人产生冲突
76,乐观,总是充满活力,不善于做细致的工作
77,激励他人,善于激发他人的斗志,被认为是不进行深入思考的人
78,关注好的一面,意志消沉时睡一觉,第二天就能恢复,假装看不到不好的地方或问题所在
79,掌握新的东西,不断学习新技术,不重视输出就只停留在学习阶段
80,学习最前沿的东西,学习最先进的技术,对知识了解到一定程度后就感到厌倦
81,常心存希望,引导人类走向更好的未来,因为说明不充分而无法传达给他人
82,回顾过去,再现过去成功的模式,被过往束缚
83,回望原点,不会失去目标,因获取信息不足而不知道原点所在而无法行动
84,收集信息,善于调查,不重视输出,只会不断输入信息
85,对很多领域充满好奇,具备多领域的知识,不深入研究的话,知识只停留在表面
86,利用收集的信息做出成果,及时提供他人需要的信息,对信息不做整理就无法灵活利用,使信息失去价值
87,系统化思考,建立体系并传授给别人,只思考不行动
88,找到最佳路线,考虑各种可能后,找到推进事物发展的最佳途径,凭借直觉找到达成目的的方法,认为其他人也是一样的而疏于信息共享
89,找到多条路线,因为能想到多个方法,所以在取得成果前,会耐心寻找可能的方案,不愿意总用同样的方法来推进事物的发展
90,抽象思考,善于想办法,因为思维跳跃,所以会被人说"完全不懂你在讲什么"
91,在没有联系的事物间找共同点,擅长创造,有创新思维,非现实性的
92,有好奇心,喜欢新事物,容易厌倦
93,喜欢思考,从各个角度思考事物并找到其本质所在,花太长时间思考而导致行动变慢
94,对自己或他人提问,通过提问让人深刻思考,思考时因忽略周围的情况而显得很冷漠
95,仔细思考,通过梳理,把复杂的事情简单地说明白,没有整理好思绪的话,无法很好地进行说明
96,喜欢事实,善于分析情报,过于注重分析而无法行动
97,客观,对于感性的问题也能冷静公平地处理,忽视感情
98,有逻辑,能够用逻辑判断,因总问"为什么"而被人认为是多疑的
99,想象未来,根据未来反推现在,再采取行动,不考虑实现的可行性
100,从理想中获得能量,通过谈论理想来提升团队的动力,没有付诸实践的话,会被认为是空想家,提出的想法也会被轻视
